1.2466775980096455e-25, 408.54289078018303
2.234672210646055e-25, 698.3215518881109
4.0056546271516865e-25, 1339.5708638102053
7.180144325231012e-25, 2026.4008025244598
1.287042377085978e-24, 3119.8660088667966
2.3070261618478207e-24, 5960.076484401217
4.135349236519147e-24, 10500.941454816379
7.41262218469271e-24, 17767.850781266046
1.3287140821810893e-23, 31304.82659413942
2.381722780680913e-23, 65723.89003543224
4.2692430825319977e-23, 105366.75305412838
7.652627184653451e-23, 185643.60843376946
1.3717350287902833e-22, 327081.8199608805
2.4588379177594485e-22, 576279.0211389482
4.407472127575114e-22, 1057253.0755400285
7.823929337865476e-22, 1521621.5333826216
1.4161489024948972e-21, 3558535.0837560305
2.538449879579649e-21, 7572508.872528849
4.550176736207446e-21, 11502541.3585143
8.156201348419667e-21, 19462582.411570113
1.4620008033228608e-20, 37180596.67538509
2.6206395080362457e-20, 60416181.49744378
4.6975018176948025e-20, 115416835.72206402
8.420281866154623e-20, 203350651.2860324
1.5093372915454487e-19, 373071192.25046736
2.7054902625131423e-19, 657306791.0376468
4.849596973158086e-19, 1158095898.367074
8.692912751501732e-19, 1783015494.1818893
1.558206434956827e-18, 4058883268.170516
2.793088304632319e-18, 6867730151.409767
5.006616647485516e-18, 13119857346.5333
8.974370847247098e-18, 27918858132.50776
1.608657857684538e-17, 39112193981.87312
2.8835225857465125e-17, 74718486929.3112
5.168720286163416e-17, 131645031551.30005
9.264941959759552e-17, 222746625791.89297
1.6607427905801606e-16, 425526904869.9545
2.976884937264737e-16, 917808645912.955
5.336072497185282e-16, 1825735155402.2644
9.564921149213025e-16, 4446027326445.321
1.7145141232417917e-15, 14371254462817.66
3.0732701639024266e-15, 59215539412535.74
5.50884321820244e-15, 254065937580661.47
9.874613029204228e-15, 965490417235708.4
1.770026457720566e-14, 3249677491842336.5
3.1727761399509713e-14, 11389438143410488
5.687207889087601e-14, 36815003986567750
1.0194332076072678e-13, 129028868774516240
1.8273361639663376e-13, 400534286223820540
3.275503908663784e-13, 1294679435316947000
5.87134763008455e-13, 4357672064883648000
1.0524402948235939e-12, 13527182611790653000
1.8865014370685846e-12, 45530209390828315000
3.3815577848607194e-12, 130350580537657600000
6.061449425726789e-12, 456851449941737730000
1.086516081586272e-11, 1.418168438975694e+21
1.9475823563503857e-11, 4.584060783079231e+21
3.491045460854636e-11, 1.542917348745984e+22
6.257706314711113e-11, 4.789558374431469e+22
1.1216951701221598e-10, 1.6786397720014447e+23
2.0106409463760307e-10, 5.4260033831430995e+23
3.6040781158071316e-10, 1.4918447804501326e+24
6.460317585918003e-10, 5.02129727836305e+24
1.158013283004958e-9, 1.6230746152094445e+25
2.0757412399337447e-9, 5.462994712809376e+25
3.720770528625476e-9, 1.6285978062543958e+26
6.669488980779713e-9, 5.0555295576045724e+26
1.1955072994295573e-8, 1.7016057662932693e+27
2.1429493430578612e-8, 5.500238227809093e+27
3.841241194514937e-8, 1.7778865799540616e+28
6.885432902200031e-8, 5.5189550916184056e+28
1.2342152926610344e-7, 1.8575869650856504e+29
2.212333502155932e-7, 6.004428898416799e+29
3.9656124453042713e-7, 1.8639081826037707e+30
7.108368630239049e-7, 6.02486148211402e+30
0.0000012741765686961782, 1.9474648063379828e+31
0.0000022839641733095783, 6.294948328993403e+31
0.000004094010573667639, 1.8022104007808802e+32
